IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
20.200.126.106,8443,443,true,YYZ,North America,Toronto,220,8.01
40.66.63.160,80,80,false,CDG,Europe,Paris,150,7.95
20.230.56.62,443,443,true,IAD,North America,Ashburn,215,7.76
172.190.150.25,8443,443,true,IAD,North America,Ashburn,242,7.65
20.246.127.166,443,443,true,IAD,North America,Ashburn,219,7.60
20.246.144.214,443,443,true,IAD,North America,Ashburn,233,7.16
172.208.36.45,80,0,true,IAD,North America,Ashburn,225,6.56
20.201.48.75,443,0,false,GRU,South America,São Paulo,331,4.26
20.201.9.186,443,0,false,GRU,South America,São Paulo,335,4.18
191.237.202.255,443,0,false,GRU,South America,São Paulo,331,4.11
191.237.205.178,443,0,false,GRU,South America,São Paulo,335,3.82
20.204.122.49,443,0,false,BOM,Asia Pacific,Mumbai,64,3.73
20.226.170.152,443,0,false,GRU,South America,São Paulo,331,3.64
98.67.149.233,443,80,false,FRA,Europe,Frankfurt,153,3.58
51.107.211.178,2053,80,false,CPH,Europe,Copenhagen,174,2.71
51.107.211.177,2096,80,false,CPH,Europe,Copenhagen,173,2.71
51.107.211.177,2052,80,false,CPH,Europe,Copenhagen,174,2.71
51.107.211.177,2053,80,false,CPH,Europe,Copenhagen,174,2.69
51.107.211.178,2087,80,false,CPH,Europe,Copenhagen,173,2.69
51.107.211.177,2087,80,false,CPH,Europe,Copenhagen,173,2.67
51.107.211.177,2086,80,false,CPH,Europe,Copenhagen,174,2.66
51.107.211.178,2082,80,false,CPH,Europe,Copenhagen,173,2.65
51.107.211.178,2052,80,false,CPH,Europe,Copenhagen,173,2.64
51.107.211.178,2086,80,false,CPH,Europe,Copenhagen,174,2.63
51.107.211.178,2083,80,false,CPH,Europe,Copenhagen,173,2.60
51.107.211.178,2096,80,false,CPH,Europe,Copenhagen,173,2.59
51.107.211.177,2083,80,false,CPH,Europe,Copenhagen,173,2.58
51.107.211.177,2095,80,false,CPH,Europe,Copenhagen,173,2.46
51.107.211.177,2082,80,false,CPH,Europe,Copenhagen,173,2.44
51.107.211.178,2095,80,false,CPH,Europe,Copenhagen,174,2.43
20.170.41.153,443,443,true,FRA,Europe,Frankfurt,162,2.04
51.107.1.96,8443,443,true,MXP,Europe,Milan,171,1.87
51.107.11.76,8443,443,true,MXP,Europe,Milan,154,1.73
51.107.7.135,8443,443,true,MXP,Europe,Milan,391,1.39
52.187.35.233,80,0,false,SIN,Asia Pacific,Singapore,2,0.81
20.157.97.104,443,443,true,AMS,Europe,Amsterdam,181,0.32
20.251.162.143,2087,443,true,CPH,Europe,Copenhagen,191,0.22
20.46.125.42,80,0,false,NRT,Asia Pacific,Tokyo,67,0.19
51.11.142.112,80,0,false,LHR,Europe,London,155,0.13
51.116.109.243,80,0,false,FRA,Europe,Frankfurt,153,0.09
13.70.40.22,80,0,false,HKG,Asia Pacific,Hong Kong,34,0.08
4.180.165.171,8080,80,false,AMS,Europe,Amsterdam,156,0.07
20.102.24.191,80,0,false,IAD,North America,Ashburn,221,0.07
172.162.242.200,80,0,false,FRA,Europe,Frankfurt,153,0.06
